Category,Stage,Recipe Directory,Model / Workload Type,Accelerator Platform,Accelerator / GPU Topology (Count),Host Type,Orchestrator,Software Stack,Last Commit Date,Last Commit Message,Direct GitHub Recipe Link
Training,N/A,training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2602/64gpus-fp8mx-seq4096-gbs1024/recipe,Qwen3-235B-A22B,A4X Max,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2602/64gpus-fp8mx-seq4096-gbs1024/recipe
Training,N/A,training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs32768/recipe,Qwen3-235B-A22B,A4X Max,1024 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2604/1024gpus-fp8mx-seq4096-gbs32768/recipe
Training,N/A,training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs8192/recipe,Qwen3-235B-A22B,A4X Max,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2604/256gpus-fp8mx-seq4096-gbs8192/recipe
Training,N/A,training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs16384/recipe,Qwen3-235B-A22B,A4X Max,512 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/qwen3-235b-a22b/megatron-bridge-gke/nemo2604/512gpus-fp8mx-seq4096-gbs16384/recipe
Training,N/A,training/a4x-max/wan21-14b/megatron-bridge-gke/nemo2602/32gpus-bf16-seq37440-gbs64/recipe,Wan-2.1-14B,A4X Max,32 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/wan21-14b/megatron-bridge-gke/nemo2602/32gpus-bf16-seq37440-gbs64/recipe
Training,N/A,training/a4x-max/wan21-14b/megatron-bridge-gke/nemo2602/64gpus-bf16-seq37440-gbs128/recipe,Wan-2.1-14B,A4X Max,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x-max/wan21-14b/megatron-bridge-gke/nemo2602/64gpus-bf16-seq37440-gbs128/recipe
Training,N/A,training/a4x/deepseek_v3/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs4096/recipe,DeepSeek-V3,A4X,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/deepseek_v3/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs4096/recipe
Training,N/A,training/a4x/llama31_405b/megatron-bridge-gke/nemo2602/128gpus-fp8cs-seq8192-gbs64/recipe,Llama-3.1-405B,A4X,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/megatron-bridge-gke/nemo2602/128gpus-fp8cs-seq8192-gbs64/recipe
Training,N/A,training/a4x/llama31_405b/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq8192-gbs1536/recipe,Llama-3.1-405B,A4X,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/megatron-bridge-gke/nemo2602/256gpus-fp8mx-seq8192-gbs1536/recipe
Training,N/A,training/a4x/llama31_405b/megatron-bridge-slurm/nemo2509/128gpus-fp8ds-gbs128/recipe,Llama-3.1-405B,A4X,128 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/megatron-bridge-slurm/nemo2509/128gpus-fp8ds-gbs128/recipe
Training,N/A,training/a4x/llama31_405b/megatron-bridge-slurm/nemo2509/256gpus-fp8cs-gbs1024/recipe,Llama-3.1-405B,A4X,256 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/megatron-bridge-slurm/nemo2509/256gpus-fp8cs-gbs1024/recipe
Training,N/A,training/a4x/llama31_405b/nemo-gke/nemo2507/128gpus-bf16-gbs64/recipe,Llama-3.1-405B,A4X,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/nemo-gke/nemo2507/128gpus-bf16-gbs64/recipe
Training,N/A,training/a4x/llama31_405b/nemo-gke/nemo2507/128gpus-fp8cs-gbs2048/recipe,Llama-3.1-405B,A4X,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/nemo-gke/nemo2507/128gpus-fp8cs-gbs2048/recipe
Training,N/A,training/a4x/llama31_405b/nemo-gke/nemo2507/256gpus-fp8-gbs2048/recipe,Llama-3.1-405B,A4X,256 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/nemo-gke/nemo2507/256gpus-fp8-gbs2048/recipe
Training,N/A,training/a4x/llama31_405b/nemo-gke/nemo2507/64gpus-fp8cs-gbs2048/recipe,Llama-3.1-405B,A4X,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/nemo-gke/nemo2507/64gpus-fp8cs-gbs2048/recipe
Training,N/A,training/a4x/llama31_405b/nemo-gke/nemo2602/64gpus-fp8cs-gbs1536/recipe,Llama-3.1-405B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama31_405b/nemo-gke/nemo2602/64gpus-fp8cs-gbs1536/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2507/128gpus-fp8cs-gbs2048/recipe,Llama-3-70B,A4X,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2507/128gpus-fp8cs-gbs2048/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2507/256gpus-fp8cs-gbs2048/recipe,Llama-3-70B,A4X,256 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2507/256gpus-fp8cs-gbs2048/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2507/64gpus-bf16-gbs2048/recipe,Llama-3-70B,A4X,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2507/64gpus-bf16-gbs2048/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2507/64gpus-fp8cs-gbs2048/recipe,Llama-3-70B,A4X,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2507/64gpus-fp8cs-gbs2048/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2602/64gpus-bf16-gbs256,Llama-3-70B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2602/64gpus-bf16-gbs256
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2602/64gpus-fp8cs-gbs256,Llama-3-70B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2602/64gpus-fp8cs-gbs256
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2602/64gpus-fp8mx-gbs256,Llama-3-70B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2602/64gpus-fp8mx-gbs256
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/gcs/128gpu-fp8mx-gcs/recipe,Llama-3-70B,A4X,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/gcs/128gpu-fp8mx-gcs/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/gcs/64gpu-fp8mx-gcs/recipe,Llama-3-70B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/gcs/64gpu-fp8mx-gcs/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/lustre/128gpu-fp8mx-lustre/recipe,Llama-3-70B,A4X,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/lustre/128gpu-fp8mx-lustre/recipe
Training,N/A,training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/lustre/64gpu-fp8mx-lustre/recipe,Llama-3-70B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_70b/nemo-gke/nemo2602/checkpoint/lustre/64gpu-fp8mx-lustre/recipe
Training,N/A,training/a4x/llama3_8b/megatron-bridge-gke/nemo2511/8gpus-fp8cs-seq8192-gbs128/recipe,Llama-3-8B,A4X,8 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_8b/megatron-bridge-gke/nemo2511/8gpus-fp8cs-seq8192-gbs128/recipe
Training,N/A,training/a4x/llama3_8b/megatron-bridge-slurm/nemo2511/8gpus-fp8cs-seq8192-gbs128/recipe,Llama-3.1-8B,A4X,8 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_8b/megatron-bridge-slurm/nemo2511/8gpus-fp8cs-seq8192-gbs128/recipe
Training,N/A,training/a4x/llama3_8b/nemo-gke/nemo2507/64gpus-bf16-gbs1024/recipe,Llama-3-8B,A4X,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_8b/nemo-gke/nemo2507/64gpus-bf16-gbs1024/recipe
Training,N/A,training/a4x/llama3_8b/nemo-gke/nemo2507/64gpus-fp8cs-gbs128/recipe,Llama-3-8B,A4X,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/llama3_8b/nemo-gke/nemo2507/64gpus-fp8cs-gbs128/recipe
Training,N/A,training/a4x/nemotron4_340b/nemo-gke/nemo2509/128gpus-bf16-gbs256/recipe,Nemotron-4-340B,A4X,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/nemotron4_340b/nemo-gke/nemo2509/128gpus-bf16-gbs256/recipe
Training,N/A,training/a4x/nemotron4_340b/nemo-gke/nemo2509/128gpus-fp8cs-gbs256/recipe,Nemotron-4-340B,A4X,128 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/nemotron4_340b/nemo-gke/nemo2509/128gpus-fp8cs-gbs256/recipe
Training,N/A,training/a4x/nemotron4_340b/nemo-gke/nemo2509/256gpus-fp8cs-gbs256/recipe,Nemotron-4-340B,A4X,256 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/nemotron4_340b/nemo-gke/nemo2509/256gpus-fp8cs-gbs256/recipe
Training,N/A,training/a4x/nemotron4_340b/nemo-gke/nemo2509/64gpus-fp8cs-gbs256/recipe,Nemotron-4-340B,A4X,64 GPUs,Multi Host,GKE,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/nemotron4_340b/nemo-gke/nemo2509/64gpus-fp8cs-gbs256/recipe
Training,N/A,training/a4x/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/128gpus-bf16-seq4096-gbs2048/recipe,Qwen3-235B-A22B,A4X,128 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/128gpus-bf16-seq4096-gbs2048/recipe
Training,N/A,training/a4x/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs4096/recipe,Qwen3-235B-A22B,A4X,256 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/256gpus-bf16-seq4096-gbs4096/recipe
Training,N/A,training/a4x/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/64gpus-bf16-seq4096-gbs1024/recipe,Qwen3-235B-A22B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/qwen3_235b_a22b/megatron-bridge-gke/nemo2511/64gpus-bf16-seq4096-gbs1024/recipe
Training,N/A,training/a4x/qwen3_235b_a22b/megatron-bridge-slurm/nemo2511/128gpus-bf16-seq4096-gbs2048/recipe,Qwen3-235B-A22B,A4X,128 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/qwen3_235b_a22b/megatron-bridge-slurm/nemo2511/128gpus-bf16-seq4096-gbs2048/recipe
Training,N/A,training/a4x/qwen3_235b_a22b/megatron-bridge-slurm/nemo2511/64gpus-bf16-seq4096-gbs1024/recipe,Qwen3-235B-A22B,A4X,64 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/qwen3_235b_a22b/megatron-bridge-slurm/nemo2511/64gpus-bf16-seq4096-gbs1024/recipe
Training,N/A,training/a4x/qwen3_30b_a3b/megatron-bridge-gke/nemo2511/8gpus-fp8mx-seq4096-gbs1024/recipe,Qwen3-30B-A3B,A4X,8 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/qwen3_30b_a3b/megatron-bridge-gke/nemo2511/8gpus-fp8mx-seq4096-gbs1024/recipe
Training,N/A,training/a4x/qwen3_30b_a3b/megatron-bridge-slurm/nemo2511/8gpus-fp8mx-seq4096-gbs512/recipe,Qwen3-30B-A3B,A4X,8 GPUs,Multi Host,Slurm,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/qwen3_30b_a3b/megatron-bridge-slurm/nemo2511/8gpus-fp8mx-seq4096-gbs512/recipe
Training,N/A,training/a4x/wan_14b/nemo-gke/nemo2511/32gpus-bf16-gbs64/recipe,Wan-2.1-14B,A4X,32 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/wan_14b/nemo-gke/nemo2511/32gpus-bf16-gbs64/recipe
Training,N/A,training/a4x/wan_14b/nemo-gke/nemo2511/64gpus-bf16-gbs64/recipe,Wan-2.1-14B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/wan_14b/nemo-gke/nemo2511/64gpus-bf16-gbs64/recipe
Training,N/A,training/a4x/wan_14b/nemo-gke/nemo2602/32gpus-bf16-gbs128/recipe,Wan-2.1-14B,A4X,32 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/wan_14b/nemo-gke/nemo2602/32gpus-bf16-gbs128/recipe
Training,N/A,training/a4x/wan_14b/nemo-gke/nemo2602/64gpus-bf16-gbs128/recipe,Wan-2.1-14B,A4X,64 GPUs,Multi Host,GKE,"NeMo Framework, Megatron-Bridge / Megatron-LM",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/wan_14b/nemo-gke/nemo2602/64gpus-bf16-gbs128/recipe
Training,N/A,training/a4x/wan_14b/nemo-slurm/nemo2511/32gpus-bf16-gbs64/recipe,Wan-2.1-14B,A4X,32 GPUs,Multi Host,Slurm,NeMo Framework,2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/a4x/wan_14b/nemo-slurm/nemo2511/32gpus-bf16-gbs64/recipe
Training,N/A,training/g4/llama3_70b/nemo-finetuning-gke/nemo2507/4gpus-bf16-gbs32/recipe,Llama-3.1-70B,G4,4 GPUs,Multi Host,GKE,"NeMo Framework, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/g4/llama3_70b/nemo-finetuning-gke/nemo2507/4gpus-bf16-gbs32/recipe
Training,N/A,training/g4/llama3_70b/nemo-finetuning-gke/nemo2507/8gpus-bf16-gbs32/recipe,Llama-3.1-70B,G4,8 GPUs,Multi Host,GKE,"NeMo Framework, Hugging Face Accelerate",2026-09-08,Merge pull request #10 from sivanishwanthm/add-recipe-datasheet-15021446960176244294,https://github.com/sivanishwanthm/gpu-recipes/tree/main/training/g4/llama3_70b/nemo-finetuning-gke/nemo2507/8gpus-bf16-gbs32/recipe
